PACK_ID|PACK_REF|PACK NAME EN|PACK NAME FR|PACK LEVEL|CHECK DUR|PACK OBJECTIVES|PACK RESULTS|PACK CONTENT|PACK HOURS|LESSON DURATION|METHODE|CERTIFICATION|PACK HT|PACK TVA|PACK TTC|NA|PTA|M1|M1 NB L|M1 H|M2|M2 NB L|M2 H|M3|M3 NB L|M3 H|M4|M4 NB L|M4 H|M5|M5 NB L|M5 H|M6|M6 NB L|M6 H|M7|M7 NB L|M7 H|GRAM H|OPEN H|EL H|TOTAL H
|||ANGLAIS DÉBUTANT - PRÉPARATION DE MA CERTIFICATION|A1/A2|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification. |Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d'un test blanc et visualisation des résultats 1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS DÉBUTANT - JE DÉCOUVRE CETTE LANGUE|A1/A2|OK|Faire vos premiers pas en anglais. Apprendre du vocabulaire et des expressions utiles.|Acquérir une base de connaissance significative en toute autonomie.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS DÉBUTANT - PRÉPARATION D' UN ENTRETIEN|A1/A2|OK|Introduire une approche professionnelle dans la maîtrise de l'anglais|Faire bonne impression pendant un entretien en anglais, même avec un niveau débutant.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS DÉBUTANT - RESSOURCES ET EXERCICES|A1/A2|OK|Travailler sur un maximum de documents et d'exercices.|Progresser globalement sur la compréhension écrite et orale.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS DÉBUTANT - PRÉPARER MES VACANCES|A1/A2|OK|Préparer son voyage en apprenant des mots et expressions utiles.|Se sensibiliser aux situations futures.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARATION DE MA CERTIFICATION|B1|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification. |Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d'un test blanc  Analyse des résultats par un formateur. Formation, explication des points faibles|5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||4,00||5,0
|||ANGLAIS INTERMÉDIAIRE - PARTICIPER À UNE REUNION|B1|OK|Se familiariser avec le vocabulaire et les expressions utiles en réunion.|Être plus à l'aise lors de vos réunions en anglais.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B1/B2 - Conducting Meetings [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARATION D' UN ENTRETIEN|B1|OK|Monter en compétence sur de l'anglais professionnel.|Maîtriser les bases d'un entretien en anglais.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B1/B1 - Human Resources I [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS INTERMÉDIAIRE - DISCUSSION FAIRE CONNAISSANCE|B1|OK|Maîtriser les bases d'une discussion informelle.|S'exprimer sans crainte sur des sujets personnels.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B1 - JUST HOW I AM [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARER MES VACANCES|B1|OK|Préparer son voyage en apprenant des mots et expressions utiles.|Se sensibiliser aux situations futures.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B1 - GOING AWAY [3]|3|3,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||1,00||5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARATION DE MA CERTIFICATION|B1|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification.|Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d'un test blanc  Analyse des résultats par un formateur. Formation, explication des points faibles 1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||4,00||5,0
|||ANGLAIS INTERMÉDIAIRE - PARTICIPER À UNE REUNION|B1|OK|Se familiariser avec le vocabulaire et les expressions utiles en réunion.|Être plus à l'aise lors de vos réunions en anglais.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B1/B2 - Conducting Meetings [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARATION D' UN ENTRETIEN|B1|OK|Monter en compétence sur de l'anglais professionnel.|Maîtriser les bases d'un entretien en anglais.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B1/B1 - Human Resources I [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS INTERMÉDIAIRE - DISCUSSION FAIRE CONNAISSANCE|B1|OK|Maîtriser les bases d'une discussion informelle.|S'exprimer sans crainte sur des sujets personnels.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B1 - JUST HOW I AM [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARER MES VACANCES|B1|OK|Préparer son voyage en apprenant des mots et expressions utiles.|Se sensibiliser aux situations futures.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B1 - GOING AWAY [3]|3|3,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||1,00||5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARATION DE MA CERTIFICATION|B1|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification. |Bien appréhender le déroulement de la certification. Vous préparer au mieux au passage de la certification grace à une simulation Prétendre à obtenir un meilleur score.|Passage d'un test blanc et visualisation des résultats 1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS INTERMÉDIAIRE - PARTICIPER À UNE REUNION|B1|OK|Se familiariser avec le vocabulaire et les expressions utiles en réunion.|Être plus à l'aise lors de vos réunions en anglais.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARATION D' UN ENTRETIEN|B1|OK|Monter en compétence sur de l'anglais professionnel.|Maîtriser les bases d'un entretien en anglais.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS INTERMÉDIAIRE - EMAILS|B1|OK|Améliorer la rédaction d'emails ou communications en accédant à une bibliothèque étendue d'emails et d'exercices.|Rédiger des emails avec une meilleure structure, et sans fautes !|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS INTERMÉDIAIRE - RESSOURCES ET EXERCICES|B1|OK|Travailler sur un maximum de documents et d'exercices.|Progresser globalement sur la compréhension écrite et orale.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS INTERMÉDIAIRE - PRÉPARATION DE MA CERTIFICATION|B2|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification.|Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d'un test blanc  Analyse des résultats par un formateur. Formation, explication des points faibles|5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|2,00|2,00||5,0
|||ANGLAIS CONFIRMÉ - PRÉPARER UNE REUNION OU UNE PRÉSENTATION|B2|OK|Mener à bien sa prochaine présentation ou réunion.|Améliorer vos documents et réaliser une simulation de présentation.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B1/B2 - Conducting Meetings [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - PRÉPARATION D' UN ENTRETIEN|B2|OK|Monter en compétence sur de l'anglais professionnel.|Échanger de manière intelligible sur un projet professionnel.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B1/B1 - Human Resources I [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - DISCUSSION INTERCULTURELLE|B2|OK|Maîtriser les bases d'une discussion informelle avec une personne d'une autre culture.|S'exprimer avec plus de souplesse et connaître certains codes lors d'échanges interculturels.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B2 - ENVIRONMENTAL ISSUES [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - EMAILS|B2|OK|Améliorer la rédaction d'emails ou communications en accédant à une bibliothèque étendue d'emails et d'exercices.|Écrire des emails professionnels.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|B2 - BUSINESS WRITING [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - PRÉPARATION DE MA CERTIFICATION|B2|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification.|Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d'un test blanc  Analyse des résultats par un formateur. Formation, explication des points faibles 1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||4,00||5,0
|||ANGLAIS CONFIRMÉ - PRÉPARER UNE REUNION OU UNE PRÉSENTATION|B2|OK|Mener à bien sa prochaine présentation ou réunion.|Améliorer vos documents et réaliser une simulation de présentation.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B1/B2 - Conducting Meetings [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - PRÉPARATION D' UN ENTRETIEN|B2|OK|Monter en compétence sur de l'anglais professionnel.|Échanger de manière intelligible sur un projet professionnel.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B1/B1 - Human Resources I [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - DISCUSSION INTERCULTURELLE|B2|OK|Maîtriser les bases d'une discussion informelle avec une personne d'une autre culture.|S'exprimer avec plus de souplesse et connaître certains codes lors d'échanges interculturels.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B2 - ENVIRONMENTAL ISSUES [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - EMAILS|B2|OK|Améliorer la rédaction d'emails ou communications en accédant à une bibliothèque étendue d'emails et d'exercices.|Écrire des emails professionnels.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|B2 - BUSINESS WRITING [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS CONFIRMÉ - PRÉPARATION DE MA CERTIFICATION|B2|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification.|Bien appréhender le déroulement de la certification. Vous préparer au mieux au passage de la certification grace à une simulation Prétendre à obtenir un meilleur score.|Passage d'un test blanc et visualisation des résultats 1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|170,00 €|34,00 €|204,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS CONFIRMÉ - PRÉPARER UNE REUNION OU UNE PRÉSENTATION|B2|OK|Mener à bien sa prochaine présentation ou réunion.|Vous aurez étudié de nombreux documents et répondu à des quizs à ce sujet|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS CONFIRMÉ - PRÉPARATION D' UN ENTRETIEN|B2|OK|Monter en compétence sur de l'anglais professionnel.|Échanger de manière intelligible sur un projet professionnel.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS CONFIRMÉ - EMAILS|B2|OK|Améliorer la rédaction d'emails ou communications en accédant à une bibliothèque étendue d'emails et d'exercices.|Ecrire des emails avec une meilleure structure et sans fautes|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS CONFIRMÉ - RESSOURCES ET EXERCICES|B2|OK|Travailler sur un maximum de documents et d'exercices.|Progresser globalement sur la compréhension écrite et orale.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau<br>- Profil d'apprentissage<br>- 1000 contenus multimédia<br>- Quizs & exercices de validation d'acquis<br>- Bibliothèque de modèles d'email|5|1|ELEARNING|LINGUASKILL|100,00 €|20,00 €|120,00 €|||||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||5,00|5,0
|||ANGLAIS AVANCÉ - PRÉPARATION DE MA CERTIFICATION|C1|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification.|Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d'un test blanc  Analyse des résultats par un formateur. Formation, explication des points faibles|5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||4,00||5,0
|||ANGLAIS AVANCÉ - PRÉPARER UNE REUNION OU UNE PRÉSENTATION|C1|OK|Mener à bien sa prochaine présentation ou réunion.|Améliorer vos documents et réaliser une simulation de présentation.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|C1 - Conducting meetings I [3]|3|3,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||1,00||5,0
|||ANGLAIS AVANCÉ - PRÉPARATION D' UN ENTRETIEN|C1|OK|Monter en compétence sur de l'anglais professionnel.|Échanger de manière intelligible sur un projet professionnel.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|C1/C2 - A NEW JOB [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS AVANCÉ - DISCUSSION INTERCULTURELLE|C1|OK|Maîtriser d'une discussion informelle avec une personne d'une autre culture.|Vous exprimer de façon souple en maitrisant les codes des échanges interculturels||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||4,00||5,0
|||ANGLAIS AVANCÉ - EMAILS|C1|OK|Améliorer la rédaction d'emails ou communications en accédant à une bibliothèque étendue d'emails et d'exercices.|Écrire des emails professionnels.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|C1/C2 - WRITE THIS DOWN [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
