ID Questão|Objetivo|Instruções|Questão|Tempo|Resposta|Correta
12|Oral|O que é que o locutor quer dizer?|Mr. Smith wants Alyssa to phone him back.|60|O senhor Rodriguez que ligar para a Alice.|0
|||||Alice deveria ligar para o senhor Rodriguez.|1
|||||O senhor Rodriguez deveria ligar para a Alice.|0
13|Oral|Qual afirmação é correta?|I can't remember the surname of Alex's teacher.|60|A professora não lembra o sobrenome do Alex.|0
|||||O locutor não lembra o sobrenome da professora.|1
|||||Alex não lembra o sobrenome da sua professora.|0
14|Oral|O que é que o locutor quer dizer?|We would have come to help if you had informed us of the problem.|60|Eles não vieram ajudar porque não sabiam que havia um problema.|1
|||||Eles sabiam que havia um problema, mas decidiram não ajudar.|0
|||||Eles vieram enquanto ficaram sabendo do problema.|0
15|Oral|O que é que o locutor quer dizer?|I don't remember calling him before.|60|O locutor esqueceu de retornar a ligação dele.|0
|||||O locutor não tem memória de ter ligado para ele.|1
|||||O locutor esqueceu de ligar para ele.|0
16|Oral|Qual afirmação é correta?|There were 13 employees here before 7am to start work on all 3 projects.|60|Há 3 projetos.|1
|||||Havia 7 funcionários.|0
|||||Demora 13 minutos para acabar os projetos|0
17|Oral|O que é que o locutor diz sobre Matheus?|I'm not sure Matt is the best person for the job. He's not very personable.|60|Ele não é uma boa escolha para o trabalho.|1
|||||Ele é muito legal|0
|||||Ele gosta muito de conversar com pessoas.|0
18|Oral|Escolha a melhor resposta.|I'm not having a very good day.|60|Eu também|0
|||||Eu também não.|1
|||||Para mim também.|0
19|Oral|O que é que o locutor quer dizer?|Karen used to do most of the work.|60|Karen não está acostumada a trabalhar muito.|0
|||||Karen já não faz a maioria do trabalho.|1
|||||Karen usava seu trabalho como desculpa para não ir.|0
20|Oral|O que é que o locutor quer dizer?|I lived in Paris for ten years, so I am used to crowds.|60|O locutor está acostumado às multidões.|1
|||||O locutor ainda mora em Paris.|0
|||||O locutor usava o transporte público enquanto morava em Paris.|0
21|Oral|Quando é que ela entra em pânico?|She starts to panic when she's hungry.|60|Quando ela está com sono.|0
|||||Quando ela está com fome.|1
|||||Quando ela está não dorme.|0
22|Oral|O que é que o locutor quer dizer?|Jacob gave up sending emails to the supplier because she seldom replied.|60|Bruno quase nunca responde ao fornecedor.|0
|||||Bruno parou de mandar email ao fornecedor porque ele raramente responde.|1
|||||Bruno deu ao fornecedor todos os emails antigos.|0
23|Oral|Qual afirmação é correta?|Paul brought his new car to work.|60|Paulo comprou um carro novo.|0
|||||Paulo dirigiu o seu carro até o escritório.|1
|||||Paulo lavou o seu carro porque estava sujo.|0
24|Oral|Qual é a melhor resposta à pergunta?|Would you mind if I borrowed your pen? I can't find one at my desk.|60|Claro que não. Fica à vontade.|1
|||||Sim, por favor.|0
|||||Sim, você pode.|0
25|Oral|O que é que o locutor diz?|There will be approximately 16 people at the party.|60|Vai ter exatamente 16 pessoas na festa.|0
|||||Vai ter mais ou menos 60 pessoas na festa.|0
|||||vai ter aproximadamente 16 pessoas na festa.|1
26|Oral|Quanto custou o produto?|He paid $62,213 for the shipment delivery.|60|$62,230 |0
|||||$62,213 |1
|||||$2,213 |0
27|Oral|Qual afirmação é correta?|Cynthia said she'll finish early tonight because the project is a piece of cake.|60|Cynthia acha que o projeto é mole.|0
|||||Cynthia terá que trabalhar até tarde hoje.|0
|||||Cynthia acha o seu projeto fácil.|1
28|Oral|Qual afirmação é correta?|Nicole got a huge discount on her new TV.|60|A TV de Nicole é enorme.|0
|||||Nicole comprou a sua televisão por um preço muito reduzido.|1
|||||Nicole não contou as televisões.|0
29|Oral|Qual afirmação é correta?|I hate to tell you that the office is closed today.|60|O locutor não gosta de trabalhar no escritório.|0
|||||O locutor lamenta que o escritório esteja fechado.|0
|||||O locutor explica que o escritório está fechado.|1
30|Oral|Qual afirmação é correta?|Lori couldn't turn down the job offer because the salary was so high.|60|O salário era alto demais para a Laura.|0
|||||Laura aceitou a oferta de trabalho.|1
|||||Laura rejeitou a oferta de trabalho.|0
