Numéro|Objectif|Consignes|Questions|Durée|Réponse|is_correct
13|Oral|Quelle affirmation est vraie ? |Je n'arrive pas à me souvenir du nom du professeur d'Alexandre. |60|La personne ne parvient pas à se rappeler le nom du professeur d'Alexandre.|0
|||||Le professeur ne souvient pas d'Alexandre.|0
|||||Alexandre ne peut pas se souvenir du nom de son professeur.|0
14|Oral|Que veut dire la personne  ? |On serait venu aider si vous nous aviez fait part du problème|60|Ils ne sont pas venus aider car ils n'étaient pas au courant du problème|0
|||||Ils étaient au courant du problème mais ils ont décidé de ne pas apporter leur aide.|0
|||||Ils sont venus dès qu'ils ont été mis au courant du problème|0
15|Oral|Que veut dire la personne  ? |Je ne me souviens pas l'avoir appelé.|60|La personne a oublié de le rappeler.|0
|||||La personne ne se souvient pas de l'avoir déjà appelé.|0
|||||La personne ne se souvient pas de l'appel qu'il lui a donné.|0
16|Oral|Quelle affirmation est vraie ? |Il y avait 13 employés ici avant 7h qui ont commencé à travaillé sur les 3 projets. |60|Il y avait 3 projets.|0
|||||Il y avait 7 employés présents.|0
|||||13 minutes ont été nécessaires pour finir les projets.|0
17|Oral|Que dit la personne concernant Matthieu ? |Je ne suis pas que Matthieu soit la personne adéquate pour ce travail. Il n'est pas très accessible.|60|Il n'est pas très sympathique.|0
|||||Il est très agréable.|0
|||||Il est très ouvert et parle facilement.|0
18|Oral|Choisissez la bonne réponse|Je ne passe pas une très bonne journée!|60|Moi aussi|0
|||||Je aussi|0
|||||Moi non plus|0
19|Oral|Que veut dire la personne  ? |Karine faisait le plus gros du travail. |60|Karine n'est pas habituée à travailler dur.|0
|||||Karine ne fait plus la majeure partie  du travail .|0
|||||karine utilisait souvent l'excuse du travail pour ne pas venir.|0
20|Oral|Que veut dire la personne  ? |J'ai habité 10 ans à Paris donc je suis habitué à la foule.|60|La personne est habituée à être dans des lieux bondés / surpeuplés.|0
|||||La personne n'habite plus à Paris.|0
|||||La personne utilisait les transports publics à Paris.|0
21|Oral|Pourquoi commence-t-elle à paniquer ? |Elle commence à paniquer quand elle ressent la faim.|60|quand c'est la fin |0
|||||quand elle a faim|0
|||||quand les gens ont faim|0
22|Oral|Que veut dire la personne  ? |Philippe a renoncé à envoyer d'autres courriels au fournisseur car il ne répondait que rarement.|60|Philippe ne répondait que rarement au fournisseur.|0
|||||Philippe a arrêté d'envoyer des courriels au fournisseur car il ne répondait pas souvent. |0
|||||Philippe a fait suivre tous les anciens courriels il y a quelques temps.|0
23|Oral|Quelle affirmation est vraie ? |Pierre a pris sa nouvelle voiture pour aller au travail.|60|Pierre a acheté une nouvelle voiture.|0
|||||Pierre a conduit sa nouvelle voiture pour aller à son bureau. |0
|||||Pierre a une voiture de fonction.|0
24|Oral|Quelle est la meilleure réponse à la question ? |Ça te dérange si j'emprunte ton stylo ? Je n'en trouve pas sur mon bureau. |60|Bien sûr que non. Sers-toi.|0
|||||Oui, s'il te plaît.|0
|||||Oui, vas-y.|0
25|Oral|Que dit la personne  ? |Il y aura à peu près 16 personnes à la soirée.|60|Il y aura exactement 16 personnes à la soirée. |0
|||||Il y aura 60 personnes en gros à la soirée. |0
|||||Il y aura environ 16 personnes à la soirée. |0
26|Oral|Combien  a coûté la livraison ? |Il a payé 62,213 € pour la livraison.|60|62,23 € |0
|||||62,21 € |0
|||||2,21 € |0
27|Oral|Quelle affirmation est vraie ? |Cynthia a dit qu'elle finirait tôt ce soir car le projet est simple comme bonjour.|60|Le projet est simplifié|0
|||||Le projet est très facile |0
|||||Le projet est nouveau|0
28|Oral|Quelle affirmation est vraie ? |Nicole a eu sa télé à un prix très avantageux.|60|La télé de Nicole a de gros avantages.|0
|||||Nicole a vendu sa télé à un bon prix.|0
|||||Nicole a eu une super remise sur sa télé.|0
29|Oral|Quelle affirmation est vraie ? |Désolé de vous dire que le bureau est fermé aujourd'hui. |60|La personne est triste que le bureau soit fermé|0
|||||La personne déteste quand le bureau est fermé|0
|||||La personne explique que le bureau est fermé|0
30|Oral|Quelle affirmation est vraie ? |Christine ne pouvait pas refuser l'offre car le salaire était si élevé.|60|Christine a refusé l'offre.|0
|||||Christine a accépté l'offre.|0
|||||Le salaire était trop élevé pour Christine.|0
